Type_ko,Type_eng,Name_ko,Name_engImage URL
콜드 브루,Cold Brew,나이트로 바닐라 크림,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002487]_20210426091745467.jpg
콜드 브루,Cold Brew,나이트로 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000479]_20210426091843897.jpg
콜드 브루,Cold Brew,돌체 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002081]_20210415133656839.jpg
콜드 브루,Cold Brew,리저브 나이트로,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000002407]_20210225095106743.jpg
콜드 브루,Cold Brew,리저브 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000002093]_20210225094415504.jpg
콜드 브루,Cold Brew,민트 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9200000004312]_20221005145029134.jpg
콜드 브루,Cold Brew,바닐라 크림 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000487]_20210430112319040.jpg
콜드 브루,Cold Brew,시그니처 더 블랙 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000003661]_20230721170207026.jpg
콜드 브루,Cold Brew,여수 윤슬 헤이즐넛 콜드브루,https://image.istarbucks.co.kr/upload/store/skuimg/2023/08/[9200000004750]_20230801101408624.jpg
콜드 브루,Cold Brew,오트 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003285]_20210416154437069.jpg
콜드 브루,Cold Brew,제주 비자림 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/[9200000002672]_20220311105511600.jpg
콜드 브루,Cold Brew,콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000038]_20210430113202458.jpg
콜드 브루,Cold Brew,콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004770]_20230720103902092.jpg
콜드 브루,Cold Brew,콜드 브루 몰트,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001636]_20210225093600536.jpg
콜드 브루,Cold Brew,콜드 브루 플로트,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001635]_20210225092236748.jpg
브루드 커피,Brewed Coffee,아이스 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[106509]_20210430111852870.jpg
브루드 커피,Brewed Coffee,오늘의 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[2]_20210430111934117.jpg
에스프레소,Espresso,아이스 에스프레소 쿠키 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004976]_20240116093552682.jpg
에스프레소,Espresso,에스프레소 쿠키 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/01/[9200000004973]_20240116093447471.jpg
에스프레소,Espresso,에스프레소 콘 파나,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[30]_20210415144252244.jpg
에스프레소,Espresso,에스프레소 마키아또,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[25]_20210415144211211.jpg
에스프레소,Espresso,아이스 카페 아메리카노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110563]_20210426095937808.jpg
에스프레소,Espresso,카페 아메리카노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[94]_20210430103337006.jpg
에스프레소,Espresso,아이스 카라멜 마키아또,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110582]_20210415142706078.jpg
에스프레소,Espresso,카라멜 마키아또,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[126197]_20210415154609863.jpg
에스프레소,Espresso,아이스 카푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110601]_20210415143400773.jpg
에스프레소,Espresso,카푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[38]_20210415154821846.jpg
에스프레소,Espresso,라벤더 카페 브레베,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000004119]_20220412083025862.png
에스프레소,Espresso,바닐라 빈 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001939]_20210225094313315.jpg
에스프레소,Espresso,사케라또 비안코 오버 아이스,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000002095]_20210225095033382.jpg
에스프레소,Espresso,스타벅스 1호점 바닐라 빈 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004732]_20230705095514946.jpg
에스프레소,Espresso,스타벅스 1호점 카페 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004728]_20230705095319596.jpg
에스프레소,Espresso,스타벅스 돌체 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[128692]_20210426091933665.jpg
에스프레소,Espresso,아이스 라벤더 카페 브레베,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000004120]_20220412082952150.png
에스프레소,Espresso,아이스 바닐라 빈 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001941]_20210225094346653.jpg
에스프레소,Espresso,아이스 스타벅스 1호점 바닐라 빈 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004734]_20230705095557184.jpg
에스프레소,Espresso,아이스 스타벅스 1호점 카페 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004730]_20230705095423060.jpg
에스프레소,Espresso,아이스 스타벅스 돌체 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[128695]_20210426092031969.jpg
에스프레소,Espresso,아이스 카페 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110569]_20210415143035989.jpg
에스프레소,Espresso,카페 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[41]_20210415133833725.jpg
에스프레소,Espresso,아이스 카페 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110566]_20210415134334280.jpg
에스프레소,Espresso,아이스 화이트 초콜릿 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110572]_20210415155545375.jpg
에스프레소,Espresso,카페 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[46]_20210415134438165.jpg
에스프레소,Espresso,클래식 민트 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9200000004313]_20221005145156959.jpg
에스프레소,Espresso,화이트 초콜릿 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[128192]_20210415155639126.jpg
에스프레소,Espresso,바닐라 플랫 화이트,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002406]_20210415135507733.jpg
에스프레소,Espresso,바닐라 스타벅스 더블 샷,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110612]_20210415133425373.jpg
에스프레소,Espresso,블론드 바닐라 더블 샷 마키아또,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002950]_20210426150654756.jpg
에스프레소,Espresso,사케라또 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9200000003505]_20210322093241535.jpg
에스프레소,Espresso,스파클링 시트러스 에스프레소,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9200000003506]_20210322093317854.jpg
에스프레소,Espresso,아이스 블론드 바닐라 더블 샷 마키아또,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002953]_20210427132718157.jpg
